,brand,model,color,registration_date,year,price_in_euro,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,mileage_in_km
1161,alfa-romeo,Alfa Romeo Tonale,red,12/2022,2022,29970,156,Automatic,Petrol,5.9,12.0
1162,alfa-romeo,Alfa Romeo Tonale,red,12/2022,2022,29970,156,Automatic,Petrol,5.9,14.0
1163,alfa-romeo,Alfa Romeo Tonale,red,12/2022,2022,52850,280,Automatic,Hybrid,1.4,5000.0
1164,alfa-romeo,Alfa Romeo Stelvio,red,06/2022,2022,90790,510,Automatic,Petrol,10.0,20.0
1165,alfa-romeo,Alfa Romeo Stelvio,red,07/2022,2022,87990,510,Automatic,Petrol,10.0,20.0
1166,alfa-romeo,Alfa Romeo Stelvio,red,12/2022,2022,89460,510,Automatic,Petrol,11.8,25.0
1167,alfa-romeo,Alfa Romeo Giulia,red,06/2022,2022,46990,280,Automatic,Petrol,8.2,15.0
1169,alfa-romeo,Alfa Romeo Stelvio,black,05/2022,2022,59990,280,Automatic,Petrol,9.1,35.0
1170,alfa-romeo,Alfa Romeo Giulia,black,09/2022,2022,55490,280,Automatic,Petrol,7.2,15.0
1171,alfa-romeo,Alfa Romeo Stelvio,black,02/2022,2022,57490,280,Automatic,Petrol,7.4,50.0
1172,alfa-romeo,Alfa Romeo Tonale,black,10/2022,2022,44490,131,Automatic,Diesel,5.9,2000.0
1173,alfa-romeo,Alfa Romeo Giulia,black,12/2022,2022,52990,280,Automatic,Petrol,6.4,15.0
1174,alfa-romeo,Alfa Romeo Giulia,black,03/2022,2022,49890,280,Automatic,Petrol,8.0,15.0
1175,alfa-romeo,Alfa Romeo Tonale,black,10/2022,2022,38990,131,Automatic,Petrol,5.8,100.0
1176,alfa-romeo,Alfa Romeo Stelvio,black,10/2022,2022,81990,510,Automatic,Petrol,10.0,7064.0
1177,alfa-romeo,Alfa Romeo Stelvio,black,07/2022,2022,45900,200,Automatic,Petrol,8.5,10.0
